,^STOXX50E,ABI.BR,AD.AS,ADS.DE,ADYEN.AS,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CS.PA,DB1.DE,DG.PA,DHL.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,FLTR.L,IBE.MC,IFX.DE,INGA.AS,ISP.MI,ITX.MC,KER.PA,MBG.DE,MC.PA,MUV2.DE,NDA-FI.HE,NOKIA.HE,OR.PA,PRX.AS,RACE.MI,RI.PA,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,STLAM.MI,SU.PA,TTE.PA,UCG.MI,VOW.DE
2022-01-04,4367.6201171875,53.3879508972168,26.381969451904297,249.64161682128906,2271.0,121.17637634277344,112.6082534790039,176.88681030273438,655.7957153320312,50.1399040222168,44.694698333740234,4.2221269607543945,72.08890533447266,49.556243896484375,46.89655303955078,21.308025360107422,135.74319458007812,82.01854705810547,51.71696472167969,14.492813110351562,173.60659790039062,5.51240348815918,9.777132987976074,11635.0,8.935504913330078,38.54636764526367,9.83295726776123,1.7944005727767944,25.92616081237793,638.9485473632812,52.762603759765625,695.21728515625,230.49880981445312,8.115072250366211,4.9804182052612305,405.67303466796875,33.603275299072266,228.62940979003906,192.35989379882812,1518.4486083984375,106.89171600341797,2.633479118347168,75.0545883178711,117.1348648071289,57.088165283203125,139.4962921142578,12.911474227905273,164.5659637451172,37.69994354248047,11.514217376708984,217.97793579101562
2022-01-05,4392.14990234375,53.03752517700195,26.66341209411621,251.91111755371094,2255.0,123.14624786376953,114.04805755615234,177.6243438720703,645.7850952148438,50.53912353515625,44.938804626464844,4.211949348449707,73.65789031982422,49.459964752197266,46.955867767333984,21.34353256225586,136.16001892089844,81.7847671508789,52.034523010253906,14.440206527709961,174.9553680419922,5.472436428070068,9.890335083007812,11835.0,8.875275611877441,39.10047149658203,9.938255310058594,1.8123894929885864,25.880691528320312,657.8639526367188,54.87720489501953,708.2993774414062,233.50682067871094,8.068264961242676,5.044225215911865,402.6638488769531,32.98394775390625,230.37985229492188,192.98414611816406,1537.441162109375,107.74052429199219,2.6378211975097656,75.22503662109375,117.54924011230469,57.13277053833008,141.77606201171875,13.431897163391113,164.86264038085938,38.15279769897461,11.609389305114746,222.76165771484375
2022-01-07,4305.830078125,52.54503631591797,26.416610717773438,238.9702911376953,2145.0,120.37613677978516,111.49050903320312,182.3773956298828,640.009765625,50.75408172607422,44.94340896606445,4.374007225036621,73.16805267333984,49.249908447265625,47.823368072509766,21.674930572509766,134.81692504882812,81.4297866821289,50.57374572753906,14.184192657470703,161.4495849609375,5.3102617263793945,9.91669750213623,11225.0,8.823650360107422,38.68128204345703,10.122527122497559,1.8374989032745361,25.1531982421875,637.0835571289062,53.82355880737305,668.8663940429688,233.1200714111328,8.052176475524902,4.874375820159912,385.12603759765625,32.30997085571289,218.90463256835938,181.4800262451172,1409.36181640625,108.18421936035156,2.7029526233673096,75.50626373291016,114.2154312133789,57.98017120361328,136.57028198242188,13.121393203735352,157.05618286132812,38.60566329956055,11.491634368896484,216.2239227294922
2022-01-10,4239.52001953125,53.728904724121094,26.43825912475586,235.8799591064453,1965.5999755859375,120.09912872314453,111.69889831542969,183.07395935058594,599.0043334960938,50.73872375488281,46.0948600769043,4.366178512573242,74.39262390136719,49.80131530761719,47.452640533447266,21.62364387512207,135.97476196289062,81.69818878173828,48.55043029785156,13.614300727844238,158.89788818359375,5.326402187347412,9.834510803222656,11140.0,8.766779899597168,37.139427185058594,10.131818771362305,1.8461190462112427,25.171388626098633,616.3921508789062,53.45039749145508,656.625244140625,234.06544494628906,8.000981330871582,4.897741794586182,371.11468505859375,32.159690856933594,214.91746520996094,182.28260803222656,1338.2606201171875,108.64720916748047,2.7055580615997314,75.71931457519531,113.70690155029297,56.73136901855469,132.72882080078125,13.020805358886719,148.99012756347656,38.83833312988281,11.470663070678711,215.7455596923828
2022-01-11,4281.5400390625,53.6436653137207,26.923208236694336,246.0201416015625,2008.0,120.60697937011719,112.17251586914062,185.0407257080078,603.5284423828125,51.19935989379883,47.25551986694336,4.380270004272461,75.02021789550781,49.88008499145508,47.71955871582031,21.970821380615234,137.96620178222656,82.25230407714844,48.98594665527344,13.903630256652832,159.77276611328125,5.327171325683594,9.932204246520996,11425.0,8.771154403686523,38.064537048339844,10.136463165283203,1.8603602647781372,25.40782356262207,630.7785034179688,53.07722854614258,663.4465942382812,234.4521942138672,8.044862747192383,4.885160446166992,372.7132568359375,33.91294479370117,217.73765563964844,180.0531463623047,1340.208740234375,106.9495849609375,2.708597183227539,76.6993637084961,114.61096954345703,58.684852600097656,134.90086364746094,13.149090766906738,152.04966735839844,39.552940368652344,11.343230247497559,219.4130859375
2022-01-12,4316.39013671875,53.482662200927734,26.87990951538086,245.29583740234375,2035.5,121.73042297363281,112.4188003540039,185.24560546875,622.10595703125,51.32986831665039,47.108131408691406,4.46090841293335,74.58396911621094,49.72254180908203,48.43876266479492,22.029998779296875,140.05029296875,82.42546844482422,49.820674896240234,14.042159080505371,159.26242065429688,5.320252895355225,10.11983585357666,11475.0,8.740531921386719,37.756168365478516,10.3377685546875,1.9079560041427612,25.36235237121582,635.0411376953125,53.72112274169922,662.2318115234375,235.9561767578125,8.242328643798828,4.868984222412109,376.1925964355469,35.688968658447266,220.16883850097656,179.07217407226562,1336.7998046875,105.98503875732422,2.7038211822509766,76.66526794433594,115.13835906982422,59.70174026489258,136.6241455078125,13.396910667419434,156.1846923828125,40.766117095947266,10.977059364318848,220.0509033203125
2022-01-13,4315.89990234375,54.83701705932617,26.793310165405273,247.4204559326172,1914.0,120.48385620117188,111.11160278320312,186.35191345214844,637.9882202148438,52.013145446777344,47.03444290161133,4.508664131164551,75.78556823730469,50.326454162597656,49.64731979370117,22.26276397705078,143.1995849609375,84.39086151123047,49.74808883666992,14.050926208496094,157.9501190185547,5.350228786468506,10.098128318786621,11400.0,8.758031845092773,38.59455490112305,10.44151782989502,1.9191991090774536,25.35325813293457,612.1061401367188,55.191829681396484,644.7579345703125,239.5657958984375,8.37104606628418,4.716210842132568,365.6134948730469,35.46582794189453,215.8899383544922,176.26303100585938,1294.43115234375,108.37712860107422,2.7155449390411377,75.77896881103516,113.48088073730469,59.4876594543457,135.97792053222656,13.856109619140625,155.44297790527344,40.55422592163086,11.010933876037598,220.52928161621094
2022-01-14,4272.18994140625,55.85987854003906,26.282381057739258,243.702392578125,1772.0,119.06803894042969,111.14949035644531,186.02410888671875,618.1594848632812,52.28952407836914,48.44382095336914,4.514143943786621,76.01518249511719,50.650299072265625,49.15797424316406,22.321945190429688,142.64381408691406,85.25668334960938,49.112972259521484,13.994813919067383,155.48956298828125,5.231863975524902,10.203575134277344,11275.0,8.689786911010742,37.81880187988281,10.467842102050781,1.9203234910964966,25.253231048583984,593.9009399414062,54.72354507446289,631.115234375,234.79595947265625,8.176506042480469,4.605674743652344,356.77410888671875,35.219913482666016,207.52664184570312,176.66432189941406,1264.7244873046875,108.80154418945312,2.749847173690796,77.22773742675781,113.46205139160156,59.16653823852539,130.915771484375,13.829869270324707,151.10398864746094,41.16081619262695,10.920600891113281,220.84817504882812
2022-01-17,4302.14013671875,56.38078308105469,26.37763786315918,243.99208068847656,1788.5999755859375,119.49894714355469,110.60009765625,186.06509399414062,631.6353149414062,52.312557220458984,48.65568542480469,4.525887966156006,75.78556823730469,50.7465705871582,48.97261047363281,22.519203186035156,144.21844482421875,84.78913879394531,49.176483154296875,13.980786323547363,158.56982421875,5.274905204772949,10.243894577026367,11125.0,8.788652420043945,38.13199234008789,10.436870574951172,1.9319411516189575,25.38054084777832,608.0010375976562,54.33574676513672,641.3939819335938,235.31161499023438,8.17796802520752,4.683858394622803,362.2752380371094,34.94668197631836,207.62388610839844,179.6072540283203,1310.0147705078125,108.57003784179688,2.7411630153656006,78.5742416381836,115.38320922851562,58.61349105834961,131.0414276123047,13.9508638381958,151.43777465820312,41.27714538574219,10.994802474975586,218.45631408691406
2022-01-18,4257.81982421875,56.01141357421875,26.23908233642578,245.48899841308594,1764.0,118.17545318603516,109.76652526855469,185.1636505126953,617.3894653320312,51.94405746459961,47.955604553222656,4.525887966156006,75.72435760498047,50.484004974365234,48.942955017089844,22.566547393798828,144.68157958984375,84.97096252441406,48.740970611572266,13.99130630493164,156.85653686523438,5.23493766784668,10.288865089416504,10870.0,8.710785865783691,37.052696228027344,10.402804374694824,1.930067539215088,25.325977325439453,595.8641967773438,54.61378860473633,628.87255859375,234.23731994628906,7.881040573120117,4.642519474029541,353.5768737792969,33.78998565673828,203.24774169921875,176.173828125,1301.736083984375,108.08776092529297,2.7268340587615967,78.4549331665039,113.91407775878906,58.4083366394043,127.98978424072266,13.917336463928223,148.22988891601562,41.89618682861328,11.052874565124512,212.8753204345703
